mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
19747,0.093466,-0.072871,0.472185,"02a351cbfe09a82d0f3139fac46acc00df1b5f11122a4bd58c143afe948a8181","22;23;26;44;45;46"
19544,0.146589,0.020433,0.391397,"07917185723abbb03d645ee4dd3e9a64365d176f959035c5a4382bc40ca705f5","23;45;46"
19522,0.323259,0.025191,0.313845,"5d551567304e47b864e8ab44d777097394547c6ae9b0792ce1eb651468b34231","23;24;25;45;46"
12437,0.240236,-0.186155,0.384496,"d99c1ff8e9ac75d7f95b6454bebb2079a53b5400b30f32f3d3fb724ada40a32b","19;27;43"
12411,0.000405,0.010404,0.440195,"25208e37c02e600022b87b4583885b1b48ee66161cf0c920ce816121c8e95a82","27;29;42"
11219,0.272841,0.005863,0.375550,"206f0b25748be37074a87a4cd3c1911058ec666e49b0c50c6494210049bb52a0","23;24;25;46;47"
11173,0.317139,-0.166546,0.330002,"fbaaee58cdf9d047cb57b43f2a88769fa9a2ee15be6fa6d15a5b507bf74cfe4e","24;25;45;46;47"
10792,0.284838,-0.104129,0.329825,"d4d59d75880e55bda4f2a25dd763085b95c46c6e79e55b00ebeb651468f08812","8;23;45;46"
12247,0.148427,0.020613,0.384648,"cbd28ab530ac7a163c4b52f5efce0ad097a7fd05ae9cc527c6f7bac08c850913","22;27;46"
12224,0.230579,-0.089475,0.365744,"d38aa596ad388c8edff383ffefecdcefc367fd85bd4dcfa19872df9a8e6c915c","9;20;24;27;44;45"
8686,0.168478,-0.019056,0.410302,"924bef7e12c0b9f6b58cdae76dceb7c166738fd0e2cf26ed32e1ee8925f127fd","18;19;47"
8190,0.045269,0.041543,0.387767,"f2bde148bfd5977fdbeebcaf2abd7734bdb3d511df2b3ad27b5d0dffdf6c565f","14;17;41"
10397,0.210082,0.024723,0.360076,"418e473512ab20b774214250b3218040712e6a1c339c453f2ca63040a880b0a8","23;25;27;43;46;47"
10393,0.215665,0.025780,0.370463,"62ac861cd9a306eabea2c218c4e22898d16e6a2020c79b3f19265d3a90782306","21;22;24;45;46;47"
10849,0.291984,-0.118483,0.343268,"138acf955222a96f3ec742f775a2b249376f228d31dc854f1c26ffc0ada021d8","23;25;45;46"
6804,0.000913,0.041851,0.401161,"07142d3badedd3c89c5e1175f67c3f09d9221767a7c47e3dc01378b3dc5f54df","14;15;41"
11132,0.131546,0.023337,0.391424,"2113ce0c4d1ff059cd4d764c028836c2a80c225cc5bb160016390002d90e788f","24;25;45;46;47"
3948,0.265820,0.054446,0.347083,"018f1699fca9a857fe116ad0b5a3f048632a0a9c329847778c843a6094c0a1a8","8;9;22;45"
19365,0.215065,-0.088933,0.453171,"cabf94b3abb9148fbb3f883daea24a9b8753e8103649cb33aed35c7b9a548f1f","20;21;44;45"
19170,0.187400,0.022353,0.380194,"644000894bc9a040ac64a10f820243de6880cac24d27544095008a39111b3fd6","9;44;45;46"
19153,0.176393,0.025773,0.380500,"612308090a5823486464ac8c928283d46884cafe5d0be546d424827920031eec","26;43;44"
18691,0.166954,0.028764,0.379968,"748985978c88e2e0aeb1a34ae662414a69e56ad20a7bcf609ca2df10812b6384","26;43;44;46"
19889,0.140473,0.042358,0.381048,"b4ac841f1be92288f6b0cb0162d049d769eeea522efcdb371d20057b61035c8e","23;24;25;46;47"
18322,0.091099,0.060085,0.279343,"22cd56bd5e89eee69d00e042a4ca3540eaeb3bc166bb47ffb4369a0855186188","42;43;44"
18526,-0.257568,0.006095,0.507864,"5efaf6fe3bd0bae0af94bfa36cef6752a7ffefc242c38ae9dae34f8b272727cb","39;40;41;42"
18516,-0.218778,0.015021,0.481852,"47f38187ba14ae9daee99be5ccf2ccc6d647fc55d709cfe0ac34afde8c16a91d","0;1;4;17;31;32;40;41;42"
18359,0.134730,0.018677,0.387415,"5e9fdeb4aa521ebbb0968ea56fef4b5337f7ede37c418b2afae76f95a4f22d43","28;42;44"
18069,-0.093441,-0.027761,0.480986,"5cb09df7a86e459fa2bbab18d777495a81566c1a3941fb22c9e77574a0718732","17;40;41"
