mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
1088,-0.046981,0.052778,0.156174,"d1585725220a453121e2a2ecd707815326e46c6e69d7e50a90e2611028b00279","586;596;605"
683,-0.012814,0.049629,0.151946,"64e1bd6fc84d2388eaf52b08f7f54932915e68521370fb314da6657cc033c7e0","0;585;586;590;596;605;615;1672"
1090,-0.032322,0.049733,0.162220,"b1ed6a5e56dbf6e77d427c0333d936307aea17eaecbf047f736f8401659afa8a","586;590;615"
1206,-0.017627,-0.070894,0.448605,"66fbbcfaaac917ecbfbfb068eefbcc5bcbf3ef52124bcaf1fed37ffbd053872b","586;596;615"
1209,-0.081655,0.048060,0.512865,"9fd36fcb7613abf8547857f6714cbf213e0017efe3902dff6609ab843f8771f1","0;585;586;590;596;605;615;1672"
1210,-0.080284,0.047786,0.513170,"bb5e6a6c6657df70154edcff3b1db725de9197e7eda7248e737da8937ffc7eff","0;585;586;590;596;605;615;1672"
1219,-0.073262,0.049957,0.524213,"3a9d72d833f35967cd45eeb32b3e26e4cfb39d003ea930dfbbff1053768ccc5e","0;585;586;590;596;605;615;1672"
1227,-0.209867,-0.150761,0.578051,"6db9b41ffd9df6f9fff8fd4deef85ef6d96e7e4dd763dbffbe7f473e5a6edb87","585;590;596;605;615"
1228,-0.218079,0.036250,0.576442,"7ab25012ebd911dfe37db5bd0a88ce948f02c4109e6beeb11a5115ffff8cce5f","586;596;615"
1244,-0.082881,0.021612,0.605582,"7fe382a0b5127acc23f9d3674cba7ad2f9cdbdf59fd38dc09a75bfc78e06ba8f","585;586;590;605"
1248,-0.192569,-0.068908,0.610618,"04e7a9e394676ffc366f5d02d165d92019ce15ee7b90793fed8fa5e4a4fbd6f8","586;596;605;1672"
1250,-0.189946,0.003858,0.593906,"d5ddbe3f9a5eb6aefef3ae31f7f84b6bb37fe8e3e5e99f3fe9e77f15c970a90b","585;586;590;1672"
1257,-0.185269,-0.123831,0.621643,"1422caad4a2b285a26a2dbe3d187c1487fbd6f820894c700d4a7fb84a5e32580","586;596;605"
1262,-0.179729,-0.124021,0.618573,"daf533e85bc1b76daf04ec226cdf2471fabdfbe1420bbaddfbf10f7b3306a7fa","586;590;615;1672"
1273,-0.174630,-0.214507,0.633836,"f83573ed340b79756da8fb78df1f9c70fe9d5f28f9b2e1cef7fda0b4678ac231","586;590;596;605"
1275,-0.117850,-0.166659,0.614237,"5028be700aa85107a217a43827a3401b01b66c002a4fa221d3a37039e0c0062b","0;586;596;605;615;1672"
1277,-0.172577,-0.232536,0.628504,"fa75620c4f5b966889e4fcaf488c3795f89dd3e36c23f4dc3750893b773e7ede","0;585;586;590;596;605;615;1672"
1285,0.162824,-0.069349,0.683587,"6c34d140f3f963427ba369281ab5cdbc331e82181332a8421f9c116ec3e346a5","586;590;596"
1286,-0.054822,0.017498,0.684466,"bc4c6aee44734770518ef50a5359b33178b817ea68b7281e73cfa1a973fb76e2","0;585;590;596;605;615;1672"
1298,-0.145452,-0.003729,0.741467,"02aaebbb74c9e948bf5555a1edcdfa40fb29971502f02ed5ce55abed948c75f0","0;585;586;590;596;605;615;1672"
1300,-0.209964,0.025172,0.820360,"e56d5bcade01eed9c8a2b94a51c97de232c64aea71278c7a300c873c7dfbeb80","586;590;596;605;615;1672"
1302,-0.212414,-0.002389,0.829645,"3259ecee4f45946d13b0f10b50bf642bccd9b3e3487ada915b52cdbf753a16da","585;586;590;605;615"
1303,-0.224696,-0.004193,0.870597,"0f2f2283fdbdbac24f3d5d878c887f8cec0b931596b04df01e548ae7d74f79c7","585;586;590;596;1672"
1312,0.003742,0.271937,1.293878,"bc4132fccdfd5648cb8ce8094ed92598d8b9d7624c235298b3d9413b537d6686","0;586;590;615;1672"
1345,-0.026353,0.047799,0.169750,"6cbcf55adbf117cabb37ac386cf76c949bfbe392324ffaf77bd7057ff377a7b3","586;590;596;605;615"
1348,-0.039621,0.048439,0.174514,"87fefc53e2afb996bafb34fc9c87c43f875df318b3dcda724e1a75e6cad183b5","0;590;596;1672"
1350,-0.036703,0.047825,0.173446,"bc7a272d304e42b834ccd265634591917ce4ede3e9d4412ca4e3e1806bb75679","590;596;605;615"
1360,0.064410,0.054060,0.195194,"df7afc172b7c5998ebdeb5bd7e5ecfbf27d1fd6ead45bfe8d37b6197eaf50f77","0;585;586;590;1672"
1361,-0.049256,0.046928,0.188730,"4ae9be70eb8c75c5ab95a4092e93431f26ff6958526b82607f98556be290abaa","0;590;596"
1363,-0.049482,0.047039,0.189350,"25b5bb4ad4ec53ca62496d0832f14830d99a12181a3af8337f8c206ce143e6e2","0;590;596"
1369,-0.061216,0.045490,0.205874,"49b9bd77288f29b426b94a60f777c06207767d5893d8cb3dcceb77c4a0b20129","0;585;590;596;605"
1599,-0.043979,0.050699,0.165259,"65b56909ba3b17b90265adbcd374ca301f165c2ed922ed17fa0d25fc5cea8671","585;596;605"
780,-0.095514,0.043235,0.235980,"5a6172e16f1bf847ed20fe0b8f885686ea8dff814ebbd3c097f91a33670c4b8e","0;585;586;590;596;605;615;1672"
783,-0.094912,0.043190,0.235787,"f22152c94f1df840ed21fb1b8e8a1cc6ea81cf81143bc1c195f88a5b470cf386","0;585;586;590;596;605;615;1672"
786,0.037589,0.039833,0.252639,"0ffd6beff693fffd5fe07da679edbe207efb17efd3b82cff6eddafa077bed1f9","0;585;586;590;596;605;1672"
788,0.039114,0.039881,0.254339,"388d63e954c7eb795500fa427b49b44078a817e999ba19dfffcdabc4778af0a0","0;585;586;590;605"
793,-0.010008,0.039072,0.279990,"0a38b29955f5bac65f477413ac9c77acf93b939186be32f30f5c9a6bd74d3dce","0;585;586;590;596;605;1672"
794,-0.009984,0.039182,0.279128,"8a78b29965d5b8471f5f5413ac9c778cfd3b9395a6fc32f30f5e9aeb961cbddf","0;585;586;590;596;605;615;1672"
795,-0.009677,0.039130,0.278856,"8ab1a0dbedd5bc471f5f5517ac9c768dcd3b9391d67ef2d10759deab160cfddf","0;585;586;590;596;605;615;1672"
796,-0.008601,0.039661,0.279627,"04b13dabec2da9590e799942d55f782bde195fb313015b50cd80ebfc9c2b95b1","585;586;590;596;605;1672"
797,-0.007041,0.039403,0.276555,"d4943cbfa86611298c168311f77f2a4bc1377d2338cd5b3dc9a3fa5190688572","585;586;590;605;615"
799,0.112752,0.047364,0.298514,"53f9fbe56c4c7b5defe1fe0abf9fd672aeed7fdcc31bf3c0f7fd2fb0649a43f9","0;585;586;1672"
1329,-0.046563,0.052760,0.156642,"30fe9977b28957ff3227603937e3401037db45106ade883fe9873570a0d0860b","590;605;615"
1331,-0.050012,0.053030,0.156580,"195d1765934f77b56de06a087e7301343276586a61b8312ff5ee05026a32c32a","0;585;586;590;596;605;615;1672"
1341,-0.043926,0.050588,0.164569,"6c32b960e86d419823bf271896b7493a85d46c1a0855eb02dd9f753cc2f30623","590;605;615;1672"
1314,-0.031635,0.052612,0.148919,"d4a8bd75886a45bf32b7e218d727415b117e681838dcfb0acda27504e0f00668","585;586;590;596;605;615"
1092,-0.039953,0.050193,0.163970,"d740cf17220a2f21b8e24388f7e68b7f3665786e61d5bd4aa4224f142cf20374","586;590;605"
1085,0.007604,0.044689,0.163413,"d0941f3c0a42152bb9c6eabc26b2a25737b76c2069cfb64fb0a2541a2860277f","0;585;586;590;596;615;1672"
684,-0.013095,0.049462,0.151197,"d4f11961384b23b862e0a148d7d5c93012546c7a4321f91ef984257c60a20760","0;585;586;590;596;605;615;1672"
891,0.084023,0.033390,0.431527,"58b3f9a0f2d91bdd03ad5cef0fedc250769f85519e3ae491fac52defb78e8761","585;586;590;596;605;615;1672"
897,0.009738,-0.106193,0.432103,"edfeef57eaa86fb7f2db6ffc71e7c87b276e601ef35eae236e2f75e8e8f1e2f9","585;586;590;596;605;615;1672"
898,0.092999,0.027369,0.475829,"a4757d41e44fe7fe5fa67418523185351950426a60f4711a6f9e453453f846a2","0;585;590;596;605;615;1672"
900,-0.006166,-0.111146,0.462368,"2cf52818d95997e853f5ac09c2fc4f14995ac2734a62fa376b15057f523d5ef6","0;585;586;590;596;1672"
902,-0.014009,-0.057589,0.470502,"bd47ef47c632efd854c2f7e65169b96b7ec417feb9b72daa72abe1c4effb70b1","585;586;596;1672"
904,-0.006916,-0.107463,0.448231,"fd676d64981a4fb821e4a6cd534fdb333cc45dfee9d6fd2efee9a5b46fb75270","0;585;586;596;615;1672"
909,-0.036880,0.040210,0.476025,"6e587bf271d95982a945a4b99f1f0238cbb1df903a8f70f6dfd71053c2058672","585;586;590;596;605;615;1672"
911,-0.037000,0.038710,0.473940,"3ea3600afe138ad9073d9def434c9e845fda87f79e226fb53a44adfd778fbed5","0;585;586;590;596"
916,0.142749,0.027192,0.489620,"a9bdb159f5ffe4ef5bea781832b8d4a4992a5208777e701f2f5f153ada78daae","585;586;590;596;1672"
918,0.142957,0.027507,0.490146,"207f7241f28bb77779a47cac228585143e3ac670c0ba205e6594242253dac7a9","585;586;590;596;1672"
921,0.060589,0.031018,0.489455,"86d0bfb86fe4b9c2be5150b38cde6c48ef1bb391332f92f15d329aeb9c0db5f3","585;586;615"
690,0.021867,0.045638,0.157841,"bc14136cc367576b31a6e91b4aff211d79bb83a228b310def3c6c12f737466b2","585;586;596;615;1672"
698,0.007684,0.044992,0.165507,"00239501eae92003aeb92a6084b741de8137ea101299c3500d161a67804307ab","585;586;590;596"
700,0.007666,0.045062,0.164987,"e63f4510f88b163731eab0fda20cc4138f7fc577fd4ec02e2a1025fa4c8dda17","0;585;586;596;605;615;1672"
703,-0.021749,0.047186,0.166510,"47bdf615afb4bcaefef7ae14e8fadfefe367e81db769bff33e7f5f7ecf75e95c","585;586;596;615"
707,-0.044022,0.050567,0.165314,"f5253e46cd3e427861a6af1c42701e37b8c4686efc73b90c133a411449636a04","585;586;590;605;615;1672"
708,-0.003174,0.044327,0.168583,"a6b0145b598f5059bb31a15dc2d34c1dd8184b503ae7db350f9051764a09c2b2","585;586;596;605;1672"
709,-0.000650,0.044248,0.167496,"61899556095a84a4f993a608e23084bf007668485de9752d0b3e5413c2285a0c","585;586;596;605;615"
833,0.103809,-0.115857,0.329518,"d74c079fdbbfafeabecedbd7ede63bc57febfee765053effb4328f881d7729d4","585;586;590"
834,-0.131006,0.041578,0.308071,"74edc67edd0bc6ed57a2e00a63e91d5059ee6a6a6863cbbffbee851df33bfa02","585;586;596;605;615;1672"
835,0.024932,0.033137,0.330019,"24add276d58bc6e17aa2ea0862f91d1099ee42327afb483ffbbe4551c17a520a","585;586;605;1672"
838,0.095863,-0.108040,0.335795,"4fbeaf5fe9573ff8b7ffdee5f9fffff6f77fff8c85d3bff97f7fef8e8ef62dfd","585;586;590;1672"
839,0.096240,-0.108755,0.337359,"9b3cf6ffbdff7fdbff7ed635dffff775fff7ff8feed7fffffffb8fbb06d5e87f","585;586;1672"
842,-0.067700,0.038472,0.323304,"1d9d6feff4f66ff864c87e62797fb9617efe17eee9b03dbd6fefe7803ff370b9","0;585;586;590;1672"
846,0.092035,-0.106503,0.335949,"2dbf8e3ef9dfa7fdb6fef67ce6f4cad6d96eee123bdbfb3bbcd777bfda7cbef9","585;586;596;1672"
847,0.076455,0.043862,0.339468,"d2a4be928bfdb9cfbeb78518acf64e7fa137fb91364dfbf3dd165f7b80448f6e","585;586;596"
848,-0.144382,0.042170,0.323633,"3cedfdfffc7f7ffe37a2fe02fbf7817079fe7fea68f2ebffffffd704f3fbe6aa","585;590;596;615;1672"
850,0.028306,0.035943,0.332089,"a56b49ebec03ce4c16b0d1429388f12158c816cb4932cfb0a498cf3c35bb5088","0;585;590;1672"
851,0.028956,0.036510,0.338251,"24cd04cedda3c6edd3a2a80a6261298759e642ea786b48bf3d96c57bf17bf28a","585;586;615;1672"
852,0.029284,0.036856,0.341967,"26889cdedccbc6e0dfb1a00a62e82c06c9e26a525e6b4afd3d16d57bd12a5c8e","585;586;605;615;1672"
854,-0.075428,0.037010,0.330297,"11526bcf3643eb704c4cdfe6319db6607eb817efc1b125ed762daa803d8b75f9","585;586;590;1672"
713,-0.033857,0.047855,0.171954,"98af9a7392eb17ef3627aeb967770a10b7dfcd103a99093ff9c73551e040876b","585;586;596;605"
717,-0.034467,0.047917,0.172799,"d3cd07bc8b064ee7b1b2a2d967a201d3a0e76de76c4f8a3fb0e2cd392074aa0a","585;586;596;615"
723,0.012581,0.043926,0.178045,"52fb9aae388d12a8aa89986daed240d286f1ed530a0bca7198942fbb18030f1b","0;585;586;590;596;605;615;1672"
724,0.012541,0.043879,0.177938,"41331aac388d1a50a8e081edb7d6811096b95c6c8d03c05dd0b52bb808820b11","0;585;586;590;596;605;615;1672"
725,0.012577,0.043898,0.178602,"6630e0025dfd90c88b7dad9d4adc5fbe9990f3119e63fed01b54917fdf4f5e56","585;586;590"
12,-0.120586,0.038492,0.337109,"87ffd39af2842fff3ed858e4fce6ee74377b36ded3d8ae7f2c0e2fcc1cd3a3fd","0;586;596;1672"
13,-0.206074,0.058959,0.609566,"232ce25dd5b7efc757c37cd620e8b78c79ea129cb3ba14ff2e1e9640dfddfabc","585;586;590;596;605;1672"
17,-0.181386,-0.062585,0.605714,"a0d87afa74c5f3fc164d740374d72a007d38135862bc3a7f4f8f30c9518964fb","0;585;586;590"
18,-0.054566,0.036509,0.319590,"0aa6bb9b57f5bb47bf0d5d13accf3a44f73b831532892af74f571acb924eb5fb","0;585;586;590;596;605;615;1672"
20,-0.087848,0.040702,0.500018,"129429bb1ae5996b1645c993b5ff2840dd1b1b91320e7b17c9a5bae9900a25fa","0;585;586;590;1672"
21,-0.102958,0.043516,0.491637,"2529c24375bfe2d679e17c4c3098d5bc58ee125c87bad4e01e1c8420cfdf7a8c","0;586;590;615"
27,-0.092485,0.035136,0.343119,"347af86d6aab174b2f0c7ca80697a1583639c73002134018f2e520bbf0f387a3","0;585;586;590;596;605;615;1672"
31,0.082439,-0.063029,0.331592,"b5f5f14edc6f47f873e2ad4853f5dd3419de546af973f93f7b8e253cfbfbc2a0","585;586;590;596;1672"
33,0.015625,-0.069345,0.417344,"92aeeebecbf3becf9fb7d1b36cee6eca7fffaf95364f8ef3ba67dffbb57dbd5f","585;586;590;596;1672"
36,0.105359,-0.064142,0.306770,"2d356947f42feff850e87d4e537599305ecc166ee9b26d2e6e8da5846dfb52f1","585;586;590;1672"
37,0.094063,-0.065210,0.318747,"c6bdbebee9fd36e8bf9e8d19ecfe6e529177fb532643faf3bf574f3b90672f56","585;586;596;1672"
40,-0.024744,-0.069365,0.468575,"97b6c697e232bcdfbfd3dbf74deeffcb7fcfefb7b4dd8fe23e62ffc6adf5a995","585;586;590;596;1672"
43,0.054275,-0.085295,0.380091,"78e93a3239c953f5a30dac092fdb4210a0facd505a4b8a35fbc525796282ee4a","585;586;590;596;1672"
44,0.054140,-0.111615,0.387311,"64f57d67b44f77b879ec7f08d37599301edc7d6ae9b0f90eefff251440f34671","585;586;590;596"
47,-0.175563,-0.235761,0.638550,"fa71620c4f5396688be4fcaf08cc3795f8bdd3e34c27fedd3751893f773e7ede","585;586;590;596;605;615;1672"
55,-0.032028,0.050150,0.162086,"69f97367319e72b469e8fe6c7f1984b4b6edcc6ec5b8fdedb6fd04426a964a5d","0;585;586;1672"
56,-0.026114,0.047729,0.169107,"7efcdc7adbe117eeb317ac396cf7685487f3ebd23a4bda777bd7157ff253a672","0;586;590;605;615;1672"
57,-0.039736,0.048253,0.174002,"6460f8734a495108ab35250896974a1a831ce9100263ea00df81517fe0830662","0;585;586;590;596;605;615;1672"
59,-0.021708,0.047276,0.166207,"47bcd4d7fb366ebeffbb0e5468f2cdff77467a9eb349bfff2e1ed7c68af5a805","0;585;596;615"
60,0.093413,0.042968,0.347780,"3acdbbfc15d6fd67df47dc0238bf3664e8fb93894aab32eff3ff9e0b135cf4ee","0;585;586;590;596;605;1672"
